Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Ophir, Amit","
MATH 10A - Calculus I (A)
",SP23,176,"
91
","
47.1%
","
31.8%
","
6.80
","
C+ (2.51)
","
C+ (2.60)
"
"Ophir, Amit","
MATH 10A - Calculus I (B)
",SP23,181,"
89
","
58.1%
","
50.0%
","
5.87
","
C+ (2.61)
","
B- (2.78)
"
"Bowers, Adam R.","
MATH 10A - Calculus I (A)
",WI23,303,"
131
","
89.5%
","
95.0%
","
6.56
","
B (3.10)
","
B (3.02)
"
"Bowers, Adam R.","
MATH 10A - Calculus I (B)
",WI23,304,"
134
","
92.8%
","
96.7%
","
6.50
","
B (3.24)
","
B- (2.87)
"
"Upton, James Thomas","
MATH 10A - Calculus I (C)
",WI23,196,"
81
","
79.5%
","
78.9%
","
6.63
","
B- (2.82)
","
B- (2.86)
"
"Lau, Jun Bo","
MATH 10A - Calculus I (D)
",WI23,215,"
103
","
62.9%
","
47.9%
","
5.81
","
B- (2.93)
","
B- (2.72)
"
"Jin, Muzhi","
MATH 10A - Calculus I (A)
",FA22,279,"
191
","
89.5%
","
72.9%
","
5.27
","
B (3.16)
","
C+ (2.32)
"
"Stevens, Laura Jeanne","
MATH 10A - Calculus I (B)
",FA22,236,"
181
","
90.6%
","
97.8%
","
5.94
","
B (3.06)
","
C+ (2.59)
"
"Jin, Muzhi","
MATH 10A - Calculus I (C)
",FA22,194,"
137
","
85.4%
","
72.3%
","
5.56
","
B (3.16)
","
C+ (2.39)
"
"Upton, James Thomas","
MATH 10A - Calculus I (D)
",FA22,116,"
88
","
80.2%
","
77.4%
","
6.01
","
B- (2.99)
","
C (2.14)
"
"Greenfeld, Be'Eri","
MATH 10A - Calculus I (E)
",FA22,143,"
92
","
80.2%
","
57.3%
","
5.70
","
B- (2.85)
","
C (2.21)
"
"Hammock, Frances H","
MATH 10A - Calculus I (A)
",S222,29,"
25
","
83.3%
","
79.2%
","
11.54
","
B (3.00)
","
B+ (3.34)
"
"Patchell, Gregory David","
MATH 10A - Calculus I (A)
",S122,52,"
12
","
72.7%
","
81.8%
","
6.68
","
C (2.20)
","
C+ (2.47)
"
"Jin, Muzhi","
MATH 10A - Calculus I (A)
",SP22,290,"
94
","
80.9%
","
78.4%
","
6.74
","
B- (2.84)
","
C+ (2.36)
"
"Bowers, Adam R.","
MATH 10A - Calculus I (A)
",WI22,318,"
150
","
79.9%
","
76.2%
","
6.57
","
B (3.20)
","
B- (2.95)
"
"Anzaldo, Leesa B","
MATH 10A - Calculus I (B)
",WI22,298,"
144
","
86.8%
","
94.9%
","
6.82
","
B (3.26)
","
B (3.03)
"
"Jin, Muzhi","
MATH 10A - Calculus I (C)
",WI22,217,"
90
","
79.5%
","
74.7%
","
6.28
","
B (3.26)
","
B (3.03)
"
"Warnke, Lutz Peter","
MATH 10A - Calculus I (A)
",FA21,346,"
275
","
87.9%
","
87.8%
","
5.64
","
B (3.18)
","
B- (2.84)
"
"Hammock, Frances H","
MATH 10A - Calculus I (B)
",FA21,258,"
139
","
86.4%
","
84.8%
","
5.92
","
B+ (3.39)
","
B- (2.99)
"
"Greenfeld, Be'Eri","
MATH 10A - Calculus I (C)
",FA21,258,"
141
","
76.5%
","
57.7%
","
4.04
","
B+ (3.47)
","
B (3.26)
"
"Zheng, Zequn","
MATH 10A - Calculus I (D)
",FA21,271,"
155
","
64.4%
","
43.8%
","
6.86
","
B- (2.98)
","
B (3.08)
"
"Meyer, Kyle Phillip","
MATH 10A - Calculus I (A)
",S321,21,"
16
","
62.5%
","
40.0%
","
8.00
","
B (3.00)
","
B (3.26)
"
"Meyer, Kyle Phillip","
MATH 10A - Calculus I (B)
",S321,14,"
12
","
63.6%
","
18.2%
","
8.32
","
C+ (2.55)
","
N/A
"
"Bowers, Adam R.","
MATH 10A - Calculus I (A)
",S121,55,"
8
","
75.0%
","
75.0%
","
8.50
","
B (3.17)
","
C+ (2.45)
"
"Bowers, Adam R.","
MATH 10A - Calculus I (B)
",S121,36,"
5
","
60.0%
","
80.0%
","
10.50
","
B- (2.80)
","
C+ (2.69)
"
"Bowers, Adam R.","
MATH 10A - Calculus I (A)
",SP21,212,"
64
","
60.3%
","
54.8%
","
8.63
","
C+ (2.66)
","
C+ (2.64)
"
"Upton, James Thomas","
MATH 10A - Calculus I (A)
",WI21,272,"
121
","
78.2%
","
76.7%
","
6.18
","
B- (2.92)
","
B (3.03)
"
"Fulek, Radoslav","
MATH 10A - Calculus I (B)
",WI21,188,"
120
","
88.0%
","
66.7%
","
5.36
","
B+ (3.45)
","
B+ (3.44)
"
"Au, Benson C","
MATH 10A - Calculus I (C)
",WI21,156,"
64
","
86.9%
","
86.9%
","
6.34
","
B (3.25)
","
B- (2.81)
"
"Eggers, John Dietrich","
MATH 10A - Calculus I (A)
",FA20,364,"
187
","
81.4%
","
80.1%
","
6.00
","
B+ (3.34)
","
B+ (3.34)
"
"Griffin, Sean Thomas","
MATH 10A - Calculus I (B)
",FA20,214,"
110
","
85.0%
","
82.1%
","
5.15
","
B (3.29)
","
B (3.21)
"
"Cloninger, Alexander","
MATH 10A - Calculus I (C)
",FA20,293,"
187
","
81.4%
","
86.2%
","
5.69
","
B (3.15)
","
B+ (3.30)
"
"Bowers, Adam R.","
MATH 10A - Calculus I (A)
",S220,52,"
38
","
94.4%
","
88.9%
","
7.64
","
B (3.03)
","
B (3.01)
"
"Jones, Miles E","
MATH 10A - Calculus I (B)
",S220,58,"
33
","
93.8%
","
93.8%
","
5.19
","
B (3.29)
","
B (3.22)
"
"Ceccherini-Silberstein, Tullio","
MATH 10A - Calculus I (A)
",S120,97,"
20
","
68.4%
","
68.4%
","
8.92
","
C+ (2.35)
","
B (3.09)
"
"Perkins, Rudolph Bronson","
MATH 10A - Calculus I (A)
",SP20,255,"
109
","
64.5%
","
49.5%
","
6.56
","
C+ (2.61)
","
B- (2.95)
"
"Perkins, Rudolph Bronson","
MATH 10A - Calculus I (A)
",WI20,259,"
115
","
66.7%
","
66.0%
","
6.46
","
C+ (2.68)
","
C (2.01)
"
"Ferrara, Joseph William","
MATH 10A - Calculus I (B)
",WI20,319,"
149
","
78.9%
","
73.8%
","
5.63
","
B- (2.75)
","
C+ (2.61)
"
"Eggers, John Dietrich","
MATH 10A - Calculus I (A)
",FA19,390,"
185
","
81.3%
","
77.2%
","
5.62
","
B (3.16)
","
C+ (2.55)
"
"Savvas, Michail","
MATH 10A - Calculus I (B)
",FA19,188,"
98
","
93.2%
","
96.6%
","
5.84
","
B+ (3.39)
","
C+ (2.57)
"
"Deng, Yanxia","
MATH 10A - Calculus I (C)
",FA19,194,"
99
","
86.2%
","
77.7%
","
5.06
","
B (3.22)
","
C+ (2.70)
"
"Bowers, Adam R.","
MATH 10A - Calculus I (A)
",S119,58,"
28
","
76.9%
","
88.0%
","
13.81
","
B- (2.79)
","
C+ (2.45)
"
"Dewey, Edward Harold","
MATH 10A - Calculus I (A)
",SP19,204,"
80
","
62.8%
","
60.3%
","
5.45
","
B- (2.70)
","
B- (2.84)
"
"Ben-Ezra, David El-Chai","
MATH 10A - Calculus I (A)
",WI19,361,"
183
","
83.0%
","
86.9%
","
6.68
","
B- (2.91)
","
B- (2.90)
"
"Dewey, Edward Harold","
MATH 10A - Calculus I (B)
",WI19,235,"
124
","
55.6%
","
41.0%
","
7.16
","
C+ (2.69)
","
B- (2.72)
"
"Bowers, Adam R.","
MATH 10A - Calculus I (A)
",FA18,292,"
169
","
94.2%
","
97.4%
","
5.74
","
B (3.10)
","
C+ (2.40)
"
"Savvas, Michail","
MATH 10A - Calculus I (B)
",FA18,188,"
100
","
92.2%
","
89.7%
","
5.42
","
B (3.28)
","
C+ (2.54)
"
"Deotte, Christopher George","
MATH 10A - Calculus I (C)
",FA18,309,"
153
","
93.1%
","
90.9%
","
4.64
","
B+ (3.34)
","
B- (2.72)
"
"Ceccherini-Silberstein, Tullio","
MATH 10A - Calculus I (A)
",S118,63,"
26
","
96.0%
","
95.8%
","
7.38
","
C+ (2.70)
","
B- (2.72)
"
"Snellman Jr., Robert Allen","
MATH 10A - Calculus I (A)
",SP18,251,"
124
","
95.8%
","
100.0%
","
5.89
","
B+ (3.32)
","
B (3.10)
"
"Um, Ko Woon","
MATH 10A - Calculus I (A)
",WI18,294,"
160
","
67.8%
","
71.3%
","
6.89
","
C+ (2.52)
","
C (2.19)
"
"Quarfoot, David James","
MATH 10A - Calculus I (B)
",WI18,190,"
108
","
86.4%
","
95.1%
","
7.10
","
C+ (2.61)
","
C- (1.97)
"
"Stevens, Laura Jeanne","
MATH 10A - Calculus I (A)
",FA17,313,"
165
","
95.5%
","
97.4%
","
6.62
","
B (3.17)
","
C+ (2.63)
"
"Cloninger, Alexander","
MATH 10A - Calculus I (B)
",FA17,203,"
107
","
92.1%
","
96.0%
","
5.83
","
B (3.24)
","
C+ (2.63)
"
"Tucker, Henry Jackson","
MATH 10A - Calculus I (C)
",FA17,280,"
159
","
80.9%
","
43.2%
","
5.39
","
B (3.18)
","
C+ (2.52)
"
"Romero, Marino","
MATH 10A - Calculus I (A)
",S217,36,"
24
","
82.6%
","
82.6%
","
7.11
","
B- (2.78)
","
N/A
"
"Quarfoot, David James","
MATH 10A - Calculus I (A)
",S117,76,"
19
","
73.7%
","
89.5%
","
8.82
","
B (3.00)
","
C- (1.84)
"
"Um, Ko Woon","
MATH 10A - Calculus I (A)
",SP17,189,"
73
","
80.9%
","
73.5%
","
6.83
","
B- (2.71)
","
C+ (2.43)
"
"Quarfoot, David James","
MATH 10A - Calculus I (A)
",WI17,227,"
98
","
94.6%
","
96.8%
","
6.30
","
B- (2.90)
","
C+ (2.55)
"
"Dilts, James Paul","
MATH 10A - Calculus I (B)
",WI17,185,"
139
","
88.3%
","
76.6%
","
5.62
","
B- (2.92)
","
C+ (2.67)
"
"Longo, Brian Mitchell","
MATH 10A - Calculus I (A)
",FA16,212,"
114
","
88.6%
","
95.2%
","
5.96
","
B- (2.99)
","
C+ (2.60)
"
"Eggers, John Dietrich","
MATH 10A - Calculus I (B)
",FA16,213,"
100
","
82.4%
","
61.5%
","
5.83
","
B- (2.94)
","
C+ (2.42)
"
"Aghajani, Mohammadreza","
MATH 10A - Calculus I (C)
",FA16,195,"
89
","
87.5%
","
50.0%
","
5.87
","
B (3.06)
","
C+ (2.50)
"
"Barrese, Kenneth William","
MATH 10A - Calculus I (A)
",S216,29,"
15
","
100.0%
","
100.0%
","
7.36
","
B (3.00)
","
B- (2.92)
"
"Stevens, Laura Jeanne","
MATH 10A - Calculus I (A)
",S116,48,"
24
","
91.7%
","
95.8%
","
8.08
","
B+ (3.30)
","
C+ (2.55)
"
"Kim, Yeon Kyung","
MATH 10A - Calculus I (A)
",SP16,153,"
55
","
81.1%
","
67.9%
","
6.35
","
B- (2.82)
","
C+ (2.38)
"
"Stevens, Laura Jeanne","
MATH 10A - Calculus I (A)
",WI16,181,"
106
","
97.1%
","
99.0%
","
5.88
","
B (3.15)
","
C+ (2.34)
"
"Carter, Anne Toulson","
MATH 10A - Calculus I (B)
",WI16,163,"
83
","
96.3%
","
97.5%
","
5.13
","
B (3.20)
","
C+ (2.40)
"
"Eggers, John Dietrich","
MATH 10A - Calculus I (A)
",FA15,209,"
107
","
84.5%
","
83.5%
","
6.26
","
B (3.01)
","
C+ (2.41)
"
"Barrese, Kenneth William","
MATH 10A - Calculus I (B)
",FA15,165,"
77
","
81.9%
","
80.6%
","
5.89
","
B- (2.92)
","
C+ (2.57)
"
"Gawlik, Evan Scott","
MATH 10A - Calculus I (C)
",FA15,163,"
87
","
90.5%
","
85.7%
","
4.86
","
B (3.11)
","
C+ (2.47)
"
"Ceccherini-Silberstein, Tullio","
MATH 10A - Calculus I (A)
",S115,40,"
10
","
80.0%
","
70.0%
","
13.17
","
B- (2.89)
","
B (3.03)
"
"Zhou, Shenggao","
MATH 10A - Calculus I (A)
",SP15,117,"
40
","
84.2%
","
78.9%
","
5.20
","
B- (2.97)
","
B- (2.85)
"
"Zhou, Shenggao","
MATH 10A - Calculus I (A)
",WI15,195,"
92
","
85.6%
","
75.6%
","
5.19
","
B (3.26)
","
B- (2.81)
"
"Boutonnet, Remi","
MATH 10A - Calculus I (B)
",WI15,121,"
69
","
68.2%
","
33.3%
","
5.79
","
C+ (2.65)
","
C+ (2.39)
"
"Zhou, Shenggao","
MATH 10A - Calculus I (A)
",FA14,119,"
55
","
94.2%
","
80.8%
","
6.19
","
B+ (3.40)
","
B- (2.83)
"
"Eggers, John Dietrich","
MATH 10A - Calculus I (B)
",FA14,292,"
126
","
86.8%
","
83.3%
","
5.24
","
B (3.07)
","
B- (2.70)
"
"Aisenberg, James Maxwell","
MATH 10A - Calculus I (C)
",FA14,126,"
55
","
82.4%
","
62.7%
","
6.03
","
B (3.17)
","
B- (2.81)
"
"Oliver, Jesus R","
MATH 10A - Calculus I (A)
",S114,45,"
13
","
69.2%
","
100.0%
","
7.67
","
B (3.18)
","
C+ (2.66)
"
"Wong, Wiseley A","
MATH 10A - Calculus I (A)
",SP14,172,"
108
","
73.7%
","
63.6%
","
5.91
","
C+ (2.49)
","
C- (1.91)
"
"Gaddis, Jason","
MATH 10A - Calculus I (A)
",WI14,196,"
137
","
92.9%
","
85.8%
","
5.44
","
B- (2.83)
","
C (2.08)
"
"Oliver, Jesus R","
MATH 10A - Calculus I (B)
",WI14,173,"
109
","
92.4%
","
89.5%
","
5.24
","
B (3.18)
","
B- (2.87)
"
"Peng, Xing","
MATH 10A - Calculus I (A)
",FA13,226,"
138
","
91.7%
","
61.7%
","
5.15
","
B (3.27)
","
B- (2.77)
"
"Bowers, Adam R.","
MATH 10A - Calculus I (B)
",FA13,294,"
173
","
97.6%
","
100.0%
","
5.29
","
B+ (3.55)
","
B- (2.75)
"
"Martirosyan, Lilit","
MATH 10A - Calculus I (C)
",FA13,170,"
102
","
81.0%
","
10.0%
","
5.88
","
B (3.20)
","
C+ (2.51)
"
"Cheung, Man Wai","
MATH 10A - Calculus I (A)
",S113,41,"
8
","
87.5%
","
62.5%
","
8.25
","
B (3.25)
","
B- (2.77)
"
"Eggers, John Dietrich","
MATH 10A - Calculus I (A)
",SP13,160,"
53
","
65.4%
","
65.4%
","
5.56
","
C+ (2.66)
","
C (2.22)
"
"Nelson, Christopher S","
MATH 10A - Calculus I (A)
",WI13,206,"
171
","
90.5%
","
66.7%
","
5.21
","
B+ (3.34)
","
C+ (2.69)
"
"Lee, Seung W","
MATH 10A - Calculus I (B)
",WI13,149,"
61
","
93.3%
","
91.7%
","
5.05
","
B+ (3.37)
","
C+ (2.53)
"
"Stevens, Laura Jeanne","
MATH 10A - Calculus I (A)
",FA12,289,"
119
","
95.7%
","
100.0%
","
6.02
","
B+ (3.36)
","
C+ (2.67)
"
"Minsky, Daniel A","
MATH 10A - Calculus I (B)
",FA12,190,"
82
","
82.9%
","
50.0%
","
5.25
","
B (3.08)
","
C+ (2.52)
"
"Schillewaert, Jeroen Jan","
MATH 10A - Calculus I (C)
",FA12,155,"
70
","
76.6%
","
50.0%
","
4.59
","
B (3.12)
","
C+ (2.58)
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Parise, Davide","
MATH 10B - Calculus II (A)
",SP23,259,"
108
","
41.5%
","
37.7%
","
7.61
","
C (2.20)
","
C- (1.75)
"
"Gambheera Arachchige, Rusiru","
MATH 10B - Calculus II (B)
",SP23,269,"
111
","
72.9%
","
71.7%
","
5.20
","
B- (2.90)
","
B- (2.90)
"
"Lau, Jun Bo","
MATH 10B - Calculus II (C)
",SP23,288,"
105
","
77.2%
","
71.4%
","
6.10
","
B (3.22)
","
B (3.04)
"
"Klevdal, Christian Sleek","
MATH 10B - Calculus II (A)
",WI23,122,"
95
","
83.7%
","
78.0%
","
6.04
","
B (3.04)
","
C- (1.99)
"
"Stevens, Laura Jeanne","
MATH 10B - Calculus II (B)
",WI23,329,"
229
","
90.7%
","
98.7%
","
6.57
","
B (3.09)
","
C+ (2.42)
"
"Klevdal, Christian Sleek","
MATH 10B - Calculus II (C)
",WI23,203,"
154
","
77.6%
","
70.9%
","
5.96
","
B- (2.96)
","
C+ (2.33)
"
"Zeng, Ji","
MATH 10B - Calculus II (D)
",WI23,120,"
93
","
84.3%
","
76.4%
","
5.56
","
B (3.09)
","
C+ (2.39)
"
"Ramachandran, Nandagopal","
MATH 10B - Calculus II (E)
",WI23,104,"
75
","
92.0%
","
76.0%
","
5.35
","
B (3.22)
","
C+ (2.60)
"
"Stevens, Laura Jeanne","
MATH 10B - Calculus II (A)
",FA22,218,"
156
","
83.2%
","
96.1%
","
7.24
","
B- (2.99)
","
C+ (2.30)
"
"Lu, Yunze","
MATH 10B - Calculus II (B)
",FA22,160,"
69
","
79.4%
","
79.1%
","
5.41
","
B- (2.87)
","
B (3.02)
"
"McKinley, Gweneth Anne","
MATH 10B - Calculus II (C)
",FA22,182,"
112
","
92.7%
","
92.6%
","
6.93
","
B+ (3.38)
","
B- (2.75)
"
"Briones, Jor-el Thomas Caparas","
MATH 10B - Calculus II (A)
",S222,108,"
74
","
94.5%
","
97.3%
","
6.88
","
B+ (3.30)
","
B+ (3.65)
"
"Lim, Seonhee","
MATH 10B - Calculus II (A)
",S122,77,"
17
","
35.3%
","
25.0%
","
10.03
","
C (2.13)
","
C+ (2.70)
"
"Sinha, Shubham","
MATH 10B - Calculus II (B)
",S122,16,"
6
","
66.7%
","
80.0%
","
7.50
","
C (2.00)
","
N/A
"
"Edie-Michell, Cain","
MATH 10B - Calculus II (A)
",SP22,175,"
63
","
86.7%
","
88.3%
","
5.44
","
B (3.10)
","
C+ (2.31)
"
"Bowers, Adam R.","
MATH 10B - Calculus II (B)
",SP22,266,"
109
","
69.5%
","
84.8%
","
6.71
","
B- (2.87)
","
C+ (2.68)
"
"Anzaldo, Leesa B","
MATH 10B - Calculus II (C)
",SP22,357,"
135
","
92.3%
","
97.7%
","
6.53
","
B+ (3.38)
","
B (3.03)
"
"Eggers, John Dietrich","
MATH 10B - Calculus II (A)
",WI22,269,"
136
","
58.3%
","
50.4%
","
6.42
","
B (3.03)
","
C+ (2.68)
"
"Edie-Michell, Cain","
MATH 10B - Calculus II (B)
",WI22,193,"
94
","
69.1%
","
79.6%
","
6.82
","
B- (2.94)
","
B (3.01)
"
"Chung, Kwun","
MATH 10B - Calculus II (C)
",WI22,198,"
112
","
52.3%
","
48.5%
","
6.37
","
B- (2.89)
","
B- (2.75)
"
"Hodges, Reuven Moses","
MATH 10B - Calculus II (D)
",WI22,192,"
82
","
62.0%
","
84.8%
","
6.53
","
B (3.09)
","
B- (2.80)
"
"Upton, James Thomas","
MATH 10B - Calculus II (E)
",WI22,205,"
105
","
65.0%
","
88.3%
","
6.42
","
B (3.15)
","
B- (2.95)
"
"Carter, Anne Toulson","
MATH 10B - Calculus II (A)
",FA21,238,"
132
","
88.9%
","
94.4%
","
6.42
","
B+ (3.38)
","
B (3.08)
"
"Chan, Pak Yeung","
MATH 10B - Calculus II (B)
",FA21,246,"
111
","
89.5%
","
79.6%
","
5.14
","
B+ (3.54)
","
B (3.02)
"
"Chan, Pak Yeung","
MATH 10B - Calculus II (C)
",FA21,160,"
76
","
88.6%
","
75.7%
","
5.70
","
B+ (3.39)
","
B (3.01)
"
"Ciotti, Benjamin","
MATH 10B - Calculus II (A)
",S221,32,"
15
","
33.3%
","
25.0%
","
11.67
","
C+ (2.67)
","
C+ (2.39)
"
"Sinha, Shubham","
MATH 10B - Calculus II (B)
",S221,56,"
14
","
71.4%
","
71.4%
","
8.50
","
B (3.15)
","
B- (2.94)
"
"Rotar, Vladimir","
MATH 10B - Calculus II (A)
",S121,68,"
43
","
81.4%
","
93.0%
","
6.93
","
B (3.08)
","
B- (2.85)
"
"Ciotti, Benjamin","
MATH 10B - Calculus II (B)
",S121,37,"
9
","
75.0%
","
75.0%
","
9.39
","
C+ (2.67)
","
C+ (2.34)
"
"Savvas, Michail","
MATH 10B - Calculus II (A)
",SP21,289,"
108
","
94.1%
","
98.0%
","
5.87
","
B (3.29)
","
B+ (3.43)
"
"Greenfeld, Be'Eri","
MATH 10B - Calculus II (B)
",SP21,214,"
86
","
74.7%
","
62.5%
","
5.42
","
B+ (3.35)
","
B+ (3.35)
"
"Ezzati, Parinaz","
MATH 10B - Calculus II (C)
",SP21,173,"
55
","
81.6%
","
63.3%
","
6.58
","
B+ (3.35)
","
B (3.12)
"
"Bowers, Adam R.","
MATH 10B - Calculus II (A)
",WI21,326,"
161
","
70.6%
","
81.3%
","
6.80
","
B (3.13)
","
B (3.01)
"
"Ezzati, Parinaz","
MATH 10B - Calculus II (B)
",WI21,205,"
113
","
44.4%
","
27.1%
","
6.98
","
B (3.00)
","
B- (2.95)
"
"Ciotti, Benjamin","
MATH 10B - Calculus II (C)
",WI21,214,"
97
","
56.4%
","
69.1%
","
6.52
","
B (3.15)
","
B (3.05)
"
"Ciotti, Benjamin","
MATH 10B - Calculus II (D)
",WI21,210,"
123
","
57.9%
","
80.0%
","
6.73
","
B (3.19)
","
B+ (3.35)
"
"De Vleming, Kristin Elizab","
MATH 10B - Calculus II (A)
",FA20,296,"
186
","
97.8%
","
99.5%
","
6.05
","
B+ (3.52)
","
B+ (3.46)
"
"Gui, Toni Tong","
MATH 10B - Calculus II (B)
",FA20,344,"
178
","
74.1%
","
59.3%
","
5.80
","
B+ (3.37)
","
B+ (3.32)
"
"Ceccherini-Silberstein, Tullio","
MATH 10B - Calculus II (A)
",S220,121,"
33
","
90.0%
","
75.9%
","
6.90
","
B (3.26)
","
B- (2.78)
"
"Rotar, Vladimir","
MATH 10B - Calculus II (A)
",S120,60,"
32
","
90.6%
","
96.9%
","
7.56
","
B (3.06)
","
B (3.28)
"
"Gui, Toni Tong","
MATH 10B - Calculus II (B)
",S120,48,"
11
","
72.7%
","
54.5%
","
7.95
","
B (3.20)
","
B (3.13)
"
"Hammock, Frances H","
MATH 10B - Calculus II (A)
",SP20,202,"
89
","
83.5%
","
89.4%
","
7.35
","
B (3.04)
","
B- (2.94)
"
"Bowers, Adam R.","
MATH 10B - Calculus II (B)
",SP20,171,"
64
","
70.3%
","
78.1%
","
7.69
","
B (3.20)
","
C+ (2.46)
"
"Perkins, Rudolph Bronson","
MATH 10B - Calculus II (C)
",SP20,158,"
61
","
55.4%
","
64.3%
","
7.20
","
B- (2.79)
","
B- (2.94)
"
"Eggers, John Dietrich","
MATH 10B - Calculus II (A)
",WI20,308,"
153
","
74.8%
","
68.8%
","
6.04
","
B (3.03)
","
B (3.05)
"
"Savvas, Michail","
MATH 10B - Calculus II (B)
",WI20,288,"
142
","
85.6%
","
97.1%
","
6.01
","
B (3.10)
","
B (3.12)
"
"Wiersma, Matthew T.","
MATH 10B - Calculus II (C)
",WI20,199,"
107
","
71.6%
","
75.2%
","
5.65
","
B (3.01)
","
B- (2.95)
"
"Hammock, Frances H","
MATH 10B - Calculus II (A)
",FA19,288,"
146
","
75.0%
","
78.8%
","
6.09
","
B (3.02)
","
C+ (2.53)
"
"Perkins, Rudolph Bronson","
MATH 10B - Calculus II (B)
",FA19,297,"
146
","
60.9%
","
65.2%
","
6.62
","
C+ (2.67)
","
C+ (2.64)
"
"Bowers, Adam R.","
MATH 10B - Calculus II (A)
",S219,63,"
18
","
77.8%
","
83.3%
","
8.28
","
B- (2.83)
","
D (1.21)
"
"Rotar, Vladimir","
MATH 10B - Calculus II (A)
",S119,63,"
39
","
82.1%
","
89.5%
","
8.60
","
B- (2.85)
","
C+ (2.65)
"
"Hammock, Frances H","
MATH 10B - Calculus II (A)
",SP19,331,"
168
","
82.4%
","
92.4%
","
6.69
","
B- (2.79)
","
C+ (2.40)
"
"Anzaldo, Leesa B","
MATH 10B - Calculus II (B)
",SP19,276,"
122
","
72.7%
","
88.0%
","
6.84
","
B- (2.77)
","
C+ (2.44)
"
"Bowers, Adam R.","
MATH 10B - Calculus II (A)
",WI19,372,"
182
","
73.4%
","
82.4%
","
6.62
","
C+ (2.62)
","
C+ (2.38)
"
"Um, Ko Woon","
MATH 10B - Calculus II (B)
",WI19,192,"
104
","
78.1%
","
83.0%
","
5.61
","
B (3.04)
","
B- (2.86)
"
"Savvas, Michail","
MATH 10B - Calculus II (C)
",WI19,315,"
174
","
81.0%
","
94.4%
","
5.13
","
B (3.02)
","
C+ (2.68)
"
"De Vleming, Kristin Elizab","
MATH 10B - Calculus II (A)
",FA18,303,"
179
","
79.2%
","
87.8%
","
5.92
","
B- (2.99)
","
B- (2.75)
"
"Tucker, Henry Jackson","
MATH 10B - Calculus II (B)
",FA18,324,"
166
","
83.8%
","
72.2%
","
5.10
","
B+ (3.40)
","
B- (2.99)
"
"Malvenuto, Claudia","
MATH 10B - Calculus II (A)
",S218,88,"
33
","
80.6%
","
67.7%
","
6.90
","
B (3.29)
","
C+ (2.39)
"
"Rotar, Vladimir","
MATH 10B - Calculus II (A)
",S118,54,"
38
","
78.9%
","
71.1%
","
6.76
","
B- (2.79)
","
B (3.14)
"
"Petkov, Vladislav V","
MATH 10B - Calculus II (A)
",SP18,184,"
89
","
84.5%
","
81.0%
","
5.74
","
B (3.04)
","
B- (2.96)
"
"Tucker, Henry Jackson","
MATH 10B - Calculus II (B)
",SP18,242,"
105
","
79.2%
","
77.0%
","
6.20
","
B (3.10)
","
B- (2.78)
"
"Stevens, Laura Jeanne","
MATH 10B - Calculus II (A)
",WI18,367,"
234
","
91.4%
","
99.5%
","
6.61
","
B (3.10)
","
B- (2.83)
"
"Tucker, Henry Jackson","
MATH 10B - Calculus II (B)
",WI18,206,"
128
","
77.5%
","
54.2%
","
6.55
","
B- (2.91)
","
C+ (2.70)
"
"Licht, Martin W","
MATH 10B - Calculus II (C)
",WI18,194,"
138
","
64.1%
","
15.6%
","
6.85
","
B- (2.78)
","
B- (2.84)
"
"Pralat, Pawel A","
MATH 10B - Calculus II (A)
",FA17,302,"
171
","
81.9%
","
58.6%
","
5.33
","
B (3.10)
","
B- (2.88)
"
"Quarfoot, David James","
MATH 10B - Calculus II (B)
",FA17,297,"
138
","
86.4%
","
83.8%
","
6.95
","
B (3.04)
","
B- (2.75)
"
"Rotar, Vladimir","
MATH 10B - Calculus II (A)
",S217,66,"
52
","
94.2%
","
82.7%
","
7.54
","
B (3.27)
","
B- (2.93)
"
"Rotar, Vladimir","
MATH 10B - Calculus II (A)
",S117,64,"
49
","
79.6%
","
71.4%
","
6.58
","
B- (2.83)
","
B- (2.90)
"
"Dilts, James Paul","
MATH 10B - Calculus II (A)
",SP17,148,"
107
","
74.5%
","
68.9%
","
5.95
","
B- (2.90)
","
C+ (2.44)
"
"Conant, James R","
MATH 10B - Calculus II (B)
",SP17,284,"
108
","
96.2%
","
94.2%
","
6.10
","
B (3.19)
","
B- (2.83)
"
"Eggers, John Dietrich","
MATH 10B - Calculus II (A)
",WI17,389,"
169
","
79.2%
","
73.4%
","
6.21
","
B (3.06)
","
C+ (2.62)
"
"Longo, Brian Mitchell","
MATH 10B - Calculus II (B)
",WI17,309,"
140
","
83.6%
","
94.8%
","
6.29
","
B (3.10)
","
C+ (2.59)
"
"Curry, Sean N","
MATH 10B - Calculus II (A)
",FA16,264,"
135
","
77.6%
","
72.8%
","
6.07
","
B (3.16)
","
B- (2.79)
"
"Stone, Corey Dean","
MATH 10B - Calculus II (B)
",FA16,220,"
118
","
74.5%
","
71.7%
","
6.66
","
B- (2.85)
","
B- (2.77)
"
"Rotar, Vladimir","
MATH 10B - Calculus II (A)
",S216,38,"
26
","
88.5%
","
92.3%
","
7.50
","
B (3.08)
","
B (3.01)
"
